Activity database;Activity code;Activity name;Activity unit;Activity type;Exchange database;Exchange input;Exchange amount;Exchange unit;Exchange type;Exchange uncertainty type;Exchange loc;Exchange scale;Exchange negative;Notes
exldb;Purification;Purification;kg;process;exldb;Succinic acid crystals;1.00E+00;kg;production;;;;;
exldb;Purification;Purification;kg;process;exldb;Solid biomass;1.06E+04;kg;production;2;1;1.01;FALSE;
exldb;Purification;Purification;kWh;process;exldb;Electricity;3.30E-01;kg;technosphere;;;;;
exldb;Purification;Purification;kg;process;exldb;HCL;7.90E-02;kg;technosphere;;;;;
exldb;Purification;Purification;kg;process;exldb;NaCl;1.50E+04;kg;technosphere;;;;;
exldb;Purification;Purification;kg;process;exldb;Steam;1.35E+01;kg;technosphere;0;2;2;TRUE;
exldb;Purification;Purification;kg;process;exldb;Water;5.86E+01;kg;technosphere;;;;;
exldb;Purification;Purification;p;process;exldb;Bacterial fermentation;1.00E+00;p;technosphere;;;;;
exldb;Purification;Purification;p;process;exldb;Pre-treatment;1.00E+00;p;technosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;p;process;exldb;Bacterial fermentation;1.00E+00;p;production;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;process;exldb;MgCO3;2.73E-01;kg;technosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;process;exldb;NaOH;1.97E-01;kg;technosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kWh;process;exldb;Electricity;3.30E-01;kWh;technosphere;2;1;1.01;FALSE;
exldb;Bacterial fermentation;Bacterial fermentation;kg;process;exldb;Steam;1.35E+01;kg;technosphere;0;2;2;TRUE;
exldb;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;d068f3e2-b033-417b-a359-ca4f25da9731;2.22E-03;kg;biosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;9990b51b-7023-4700-bca0-1a32ef921f74;2.79E-04;kg;biosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;8c52f40c-69b7-4538-8923-b371523c71f5;2.26E-03;kg;biosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;f9749677-9c9f-4678-ab55-c607dfdc2cb9;7.22E-01;kg;biosphere;;;;;
exldb;Bacterial fermentation;Bacterial fermentation;kg;biosphere;biosphere3;73ed05cc-9727-4abf-9516-4b5c0fe54a16;3.61E-02;kg;biosphere;;;;;
exldb;Pre-treatment;Pre-treatment;p;process;exldb;Pre-treatment;1.00E+00;p;production;;;;;
exldb;Pre-treatment;Pre-treatment;kWh;process;exldb;Electricity;3.30E-01;kWh;technosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;process;exldb;Steam;1.35E+01;kg;technosphere;0;2;2;TRUE;
exldb;Pre-treatment;Pre-treatment;kg;process;exldb;Enzyme;7.00E-03;kg;technosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kWh;process;exldb;CO2 capture;1.00E-01;kWh;technosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;process;exldb;Water;5.86E+01;kg;technosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;process;exldb;Heating oil;3.39E+00;kg;technosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;baf58fc9-573c-419c-8c16-831ac03203b9;4.10E-05;kg;biosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;5f7aad3d-566c-4d0d-ad59-e765f971aa0f;3.72E-03;kg;biosphere;;;;;
exldb;Pre-treatment;Pre-treatment;kg;biosphere;biosphere3;8216fc31-15a1-4d33-858f-e09650b14c63;7.40E-08;kg;biosphere;;;;;
