Fraction of score | Absolute score | Amount | Activity
;;;;;0.0665 | -0.3277 | -0.4116 | 'market for cement, unspecified' (kilogram, Europe without Switzerland, None)
;;;;;;0.0665 | -0.3277 | -0.4116 | 'cement, all types to generic market for cement, unspecified' (kilogram, Europe without Switzer
;;;;0.0984 | -0.485 | -0.002016 | 'concrete production, 25MPa, for building construction, exposure class XC2, with cement, unspeci
;;;;;0.082 | -0.4039 | -0.5073 | 'market for cement, unspecified' (kilogram, Europe without Switzerland, None)
;;;;;;0.082 | -0.4039 | -0.5073 | 'cement, all types to generic market for cement, unspecified' (kilogram, Europe without Switzerl
;;;0.759 | -3.742 | -15.78 | 'market group for electricity, medium voltage' (kilowatt hour, Europe without Switzerland, None)
;;;;0.058 | -0.2858 | -0.5389 | 'market for electricity, medium voltage' (kilowatt hour, RS, None)
;;;;;0.0575 | -0.2835 | -0.5389 | 'electricity voltage transformation from high to medium voltage' (kilowatt hour, RS, None)
;;;;;;0.0575 | -0.2835 | -0.5446 | 'market for electricity, high voltage' (kilowatt hour, RS, None)
;;;;0.284 | -1.399 | -2.344 | 'market for electricity, medium voltage' (kilowatt hour, UA, None)
;;;;;0.282 | -1.388 | -2.344 | 'electricity voltage transformation from high to medium voltage' (kilowatt hour, UA, None)
;;;;;;0.282 | -1.388 | -2.367 | 'market for electricity, high voltage' (kilowatt hour, UA, None)
;;;;;;;0.145 | -0.7146 | -1.396 | 'electricity production, natural gas, combined cycle power plant' (kilowatt hour, UA, None)
;;;;;;;0.134 | -0.6608 | -0.4175 | 'electricity production, lignite' (kilowatt hour, UA, None)
;;;;0.0559 | -0.2753 | -0.5283 | 'market for electricity, medium voltage' (kilowatt hour, BY, None)
;;;;;0.0553 | -0.2725 | -0.5283 | 'electricity voltage transformation from high to medium voltage' (kilowatt hour, BY, None)
;;;;;;0.0553 | -0.2725 | -0.5318 | 'market for electricity, high voltage' (kilowatt hour, BY, None)
;;;0.0743 | -0.366 | -2.489 | 'market for iron sulfate' (kilogram, RER, None)
;;;;0.0595 | -0.2931 | -2.489 | 'iron sulfate production' (kilogram, RER, None)
;;;0.154 | -0.7582 | -0.2443 | 'market for polyacrylamide' (kilogram, GLO, None)
;;;;0.151 | -0.7446 | -0.2443 | 'polyacrylamide production' (kilogram, GLO, None)
;;;;;0.125 | -0.617 | -0.1824 | 'market for acrylonitrile' (kilogram, GLO, None)
;;;;;;0.0977 | -0.4813 | -0.1403 | 'Sohio process' (kilogram, RoW, None)
;;;0.213 | -1.047 | -0.316 | 'market for reinforcing steel' (kilogram, GLO, None)
;;;;0.142 | -0.6993 | -0.2135 | 'reinforcing steel production' (kilogram, RoW, None)
;;;;;0.0509 | -0.2506 | -0.07901 | 'market for steel, low-alloyed' (kilogram, GLO, None)
;;;;;0.0749 | -0.3689 | -0.1345 | 'market for steel, unalloyed' (kilogram, GLO, None)
;;;;;;0.0685 | -0.3373 | -0.1246 | 'steel production, converter, unalloyed' (kilogram, RoW, None)
;;;;0.0666 | -0.3281 | -0.1004 | 'reinforcing steel production' (kilogram, Europe without Austria, None)
;;;0.0709 | -0.3495 | 8.159 | 'market for sewage sludge, 70% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;0.0515 | -0.2538 | 8.159 | 'treatment of sewage sludge, 70% water, WWT, WW, average, municipal incineration' (kilogram, Europe
;;;;;0.0734 | -0.3616 | -2.126 | 'market for heat, district or industrial, natural gas' (megajoule, Europe without Switzerland, No
;;;0.706 | -3.477 | 7.022 | 'market for sewage sludge, 75% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;0.689 | -3.395 | 7.022 | 'treatment of sewage sludge, 75% water, WWT, WW, average, sanitary landfill' (kilogram, Europe withou
;;;0.254 | -1.253 | 192.2 | 'market for sewage sludge, 97% water, WWT, WW, average' (kilogram, Europe without Switzerland, None)
;;;;-0.204 | 1.003 | 192.2 | 'treatment of sewage sludge, 97% water, WWT, WW, average, landfarming' (kilogram, Europe without Swit
;;;;;0.0544 | -0.2682 | -0.1866 | 'market for liquid manure spreading, by vacuum tanker' (cubic meter, GLO, None)
;;;;;;0.0543 | -0.2676 | -0.1865 | 'liquid manure spreading, by vacuum tanker' (cubic meter, RoW, None)
;;;;;-0.311 | 1.532 | 0.2282 | 'market for organic nitrogen fertiliser, as N' (kilogram, GLO, None)
;;;;;;-0.311 | 1.532 | 0.2282 | 'inorganic nitrogen fertiliser, as N to generic market for organic nitrogen fertiliser, as N' (kil
;;;;;;;-0.0626 | 0.3083 | 0.02774 | 'market for inorganic nitrogen fertiliser, as N' (kilogram, CN, None)
;;;;;;;-0.162 | 0.7966 | 0.1215 | 'market for inorganic nitrogen fertiliser, as N' (kilogram, RoW, None)
;;;;;-0.184 | 0.9046 | 0.3004 | 'market for organic phosphorus fertiliser, as P2O5' (kilogram, GLO, None)
;;;;;;-0.184 | 0.9046 | 0.3004 | 'inorganic phosphorus, as P2O5 to generic market for organic phosphorus, as P2O5' (kilogram, GLO,
;;;;;;;-0.0945 | 0.4658 | 0.1588 | 'market for inorganic phosphorus fertiliser, as P2O5' (kilogram, RoW, None)
;;;;0.458 | -2.256 | -14.8 | 'market for transport, freight, lorry, unspecified' (ton kilometer, RER, None)
;;;;;0.458 | -2.256 | -14.8 | 'transport, freight, lorry, all sizes, EURO6 to generic market for transport, freight, lorry, unspec
;;;;;;0.173 | -0.8545 | -4.486 | 'market for transport, freight, lorry 16-32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;;0.173 | -0.8545 | -4.486 | 'transport, freight, lorry 16-32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;0.0533 | -0.2627 | -0.4486 | 'market for transport, freight, lorry 3.5-7.5 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;;0.0533 | -0.2627 | -0.4486 | 'transport, freight, lorry 3.5-7.5 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;0.187 | -0.9214 | -8.972 | 'market for transport, freight, lorry >32 metric ton, EURO6' (ton kilometer, RER, None)
;;;;;;;0.187 | -0.9214 | -8.972 | 'transport, freight, lorry >32 metric ton, EURO6' (ton kilometer, RER, None)
;;;0.0812 |  -0.4 | 0.6073 | 'market group for waste plastic, mixture' (kilogram, Europe without Switzerland, None)
