Fraction of score | Absolute score | Amount | Activity
0001 | -4.927 |     1 | 'Succinic acid production (bread)' (kg, None, None)
;0001 | -4.927 |     1 | 'Purification (bread)' (kg, None, None)
;;-1.21 | 5.958 |     1 | 'Bacterial fermentation (bread)' (kg, None, None)
;;;-0.0655 | 0.3227 | 0.148 | 'market for magnesium oxide' (kilogram, GLO, None)
;;;;-0.0518 | 0.2551 | 0.1222 | 'magnesium oxide production' (kilogram, RoW, None)
;;;-0.0698 | 0.3441 | 0.319 | 'market for carbon dioxide, liquid' (kilogram, RER, None)
;;;;-0.0695 | 0.3426 | 0.319 | 'carbon dioxide production, liquid' (kilogram, RER, None)
;;;-0.523 | 2.577 |     1 | 'Pre-treatment (bread)' (kg, None, None)
;;;;-0.506 | 2.494 |   7.2 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;;-0.506 | 2.494 |   7.2 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;;-0.506 | 2.494 |  19.8 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;;-0.506 | 2.494 |  19.8 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;;;-0.191 | 0.9399 | 12.68 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;;;;;;;-0.152 | 0.7513 | 7.609 | 'heat production, light fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)
;;;;;;;;-0.141 | 0.6967 | 5.072 | 'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)
;;;-0.515 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;;-0.515 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;;-0.515 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;;-0.515 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;;-0.194 | 0.9569 | 12.91 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;;;;;;-0.155 | 0.7649 | 7.746 | 'heat production, light fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)
;;;;;;;-0.144 | 0.7093 | 5.164 | 'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)
;;-0.515 |  2.54 |  7.33 | 'market for steam, in chemical industry' (kilogram, RoW, None)
;;;-0.515 |  2.54 |  7.33 | 'steam production, in chemical industry' (kilogram, RoW, None)
;;;;-0.515 |  2.54 | 20.16 | 'market for heat, from steam, in chemical industry' (megajoule, RoW, None)
;;;;;-0.515 |  2.54 | 20.16 | 'steam production, as energy carrier, in chemical industry' (megajoule, RoW, None)
;;;;;;-0.194 | 0.9569 | 12.91 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, RoW, None)
;;;;;;-0.155 | 0.7649 | 7.746 | 'heat production, light fuel oil, at industrial furnace 1MW' (megajoule, RoW, None)
;;;;;;-0.144 | 0.7093 | 5.164 | 'heat production, at hard coal industrial furnace 1-10MW' (megajoule, RoW, None)
;;-0.238 | 1.172 | 8.142 | 'market for sodium chloride, brine solution' (kilogram, GLO, None)
;;;-0.164 | 0.8068 |  5.45 | 'sodium chloride production, brine solution' (kilogram, RoW, None)
;;;;-0.0784 | 0.3864 | 2.18e-09 | 'market for chemical factory, organics' (unit, GLO, None)
;;;;;-0.0546 | 0.2689 | 1.459e-09 | 'chemical factory construction, organics' (unit, RoW, None)
;;;-0.0742 | 0.3656 | 2.692 | 'sodium chloride production, brine solution' (kilogram, RER, None)
;;2.96 | -14.57 |    62 | 'treatment of wastewater, average, wastewater treatment' (cubic meter, Europe without Switzerland, None)
;;;0.196 | -0.967 | -0.003699 | 'market for concrete, 25MPa' (cubic meter, AT, None)
;;;;0.0804 | -0.3959 | -0.001683 | 'concrete production, 25MPa, for building construction, exposure class XC1, with cement, unspec
