Fraction of score | Absolute score | Amount | Activity
0001 | 7.225 |     1 | 'Succinic acid production (corn)' (kg, None, None)
;0001 | 7.225 |     1 | 'Purification (corn)' (kg, None, None)
;;-0.347 | -2.508 | -2.72 | 'market for ammonium sulfate' (kilogram, RER, None)
;;;-0.336 | -2.428 | -2.72 | 'ammonium sulfate production' (kilogram, RER, None)
;;;;-0.278 | -2.011 | -0.7219 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;;;-0.138 | -0.995 | -0.3901 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;;;-0.138 | -0.9946 | -0.3317 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;;;;;-0.0528 | -0.3816 | -5.195 | 'heat production, natural gas, at boiler modulating >100kW' (megajoule, RoW, None)
;;;;-0.117 | -0.8427 | -5.168e-09 | 'chemical factory construction, organics' (unit, RER, None)
;;;;;-0.0648 | -0.4684 | -0.06512 | 'chemical factory construction' (kilogram, RER, None)
;;;;0.0764 | 0.5523 | -2.068 | 'market for sulfuric acid' (kilogram, RER, None)
;;;;;0.0848 | 0.6129 | -2.068 | 'sulfuric acid production' (kilogram, RER, None)
;;;;;;0.102 | 0.737 | 2.407 | 'market for steam, in chemical industry' (kilogram, RER, None)
;;;;;;;0.102 | 0.737 | 2.407 | 'steam production, in chemical industry' (kilogram, RER, None)
;;;;;;;;0.102 | 0.737 | 6.618 | 'market for heat, from steam, in chemical industry' (megajoule, RER, None)
;;;;;;;;;0.102 | 0.737 | 6.618 | 'steam production, as energy carrier, in chemical industry' (megajoule, RER, None)
;;;;;;;;;;0.0548 | 0.3962 | 5.223 | 'heat production, natural gas, at industrial furnace >100kW' (megajoule, Europe without Switze
;;0.158 | 1.142 |  0.41 | 'market for ammonia, anhydrous, liquid' (kilogram, RER, None)
;;;0.0782 | 0.5651 | 0.2216 | 'ammonia production, steam reforming, liquid' (kilogram, RER w/o RU, None)
;;;0.0782 | 0.5649 | 0.1884 | 'ammonia production, steam reforming, liquid' (kilogram, RU, None)
;;1.15 | 8.323 |     1 | 'Bacterial fermentation (corn)' (kg, None, None)
;;;1.12 | 8.124 |     1 | 'Pre-treatment (corn)' (kg, None, None)
;;;;0.563 | 4.065 |  1.66 | 'market for sweet sorghum grain' (kilogram, GLO, None)
;;;;;0.563 | 4.071 |  1.66 | 'sweet sorghum grain to generic market for energy feed' (kilogram, GLO, None)
;;;;;;-0.0649 | -0.469 | 26.43 | 'market for energy feed, gross' (megajoule, RoW, None)
;;;;;;;-0.0649 | -0.469 | 26.43 | 'barley grain to generic market for energy feed' (megajoule, GLO, None)
;;;;;;;;0.121 | 0.8752 | 1.698 | 'market for barley grain' (kilogram, GLO, None)
;;;;;;;;;0.094 | 0.6791 |  1.37 | 'barley production' (kilogram, RoW, None)
;;;;;;;;-0.186 | -1.344 | -0.1698 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;;;-0.186 | -1.344 | -0.1698 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;;;-0.155 | -1.123 | -0.3035 | 'market for soybean meal' (kilogram, RoW, None)
