Fraction of score | Absolute score | Amount | Activity
;;;;;;0.628 | 4.538 | 0.5734 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;0.628 | 4.538 | 0.5734 | 'soybean meal to generic market for protein feed' (kilogram, GLO, None)
;;;;;;;;0.0528 | 0.3816 | -21.5 | 'market for energy feed, gross' (megajoule, RoW, None)
;;;;;;;;;0.0528 | 0.3816 | -21.5 | 'barley grain to generic market for energy feed' (megajoule, GLO, None)
;;;;;;;;;;-0.0986 | -0.712 | -1.381 | 'market for barley grain' (kilogram, GLO, None)
;;;;;;;;;;0.151 | 1.094 | 0.1382 | 'market for protein feed, 100% crude' (kilogram, GLO, None)
;;;;;;;;0.0507 | 0.3666 | 0.2467 | 'market for soybean meal' (kilogram, BR, None)
;;;;;;;;;0.0507 | 0.3664 | 0.2467 | 'soybean meal and crude oil production' (kilogram, BR, None)
;;;;;;;;;;0.0682 | 0.4928 | 0.3071 | 'market for soybean' (kilogram, BR, None)
;;;;;;;;0.525 | 3.791 | 1.025 | 'market for soybean meal' (kilogram, RoW, None)
;;;;;;;;;0.0624 | 0.4508 | 0.09886 | 'soybean meal and crude oil production' (kilogram, RER, None)
;;;;;;;;;;0.0679 | 0.4903 | 0.1204 | 'market for soybean' (kilogram, RoW, None)
;;;;;;;;;0.444 | 3.209 | 0.6756 | 'soybean meal and crude oil production' (kilogram, RoW, None)
;;;;;;;;;;0.484 | 3.495 | 0.8581 | 'market for soybean' (kilogram, RoW, None)
;;;;;;;;;;-0.054 | -0.3904 | -0.1601 | 'market for soybean oil, crude' (kilogram, GLO, None)
;;;;0.532 | 3.842 |     2 | 'market for glucose' (kilogram, GLO, None)
;;;;;0.418 | 3.019 | 1.652 | 'glucose production' (kilogram, RoW, None)
;;;;;;0.0549 | 0.3969 | 0.5404 | 'market group for electricity, medium voltage' (kilowatt hour, RAS, None)
;;;;;;0.295 |  2.13 | 1.487 | 'market for maize starch' (kilogram, GLO, None)
;;;;;;;0.275 | 1.985 |  1.48 | 'maize starch production' (kilogram, RoW, None)
;;;;;;;;0.0553 | 0.3992 | 5.119 | 'market for heat, district or industrial, natural gas' (megajoule, RoW, None)
;;;;;;;;0.142 | 1.023 | 1.752 | 'market for maize grain' (kilogram, RoW, None)
;;;;;;;;;0.0765 | 0.5527 | 0.9047 | 'maize grain production, rainfed' (kilogram, RoW, None)
;;;;;0.0888 | 0.6418 | 0.348 | 'glucose production' (kilogram, RER, None)
;;;;;;0.0621 | 0.4487 | 0.3132 | 'market for maize starch' (kilogram, GLO, None)
;;;;;;;0.0579 | 0.4182 | 0.3118 | 'maize starch production' (kilogram, RoW, None)
